address,city,zip,Residence_Addresses_Latitude,Residence_Addresses_Longitude,id
335 K ST South Boston 02127,South Boston,2127,42.33215,-71.03754,0
384 K ST South Boston 02127,South Boston,2127,42.33073,-71.03707,1
26 Newburg ST Roslindale 02131,Roslindale,2131,42.28532,-71.13882,2
675 E Fourth ST South Boston 02127,South Boston,2127,,,3
960 Centre ST Jamaica Plain 02130,Jamaica Plain,2130,,,4
261 Princeton ST East Boston 02128,East Boston,2128,42.37962,-71.02975,5
34 Mildred AV Mattapan 02126,Mattapan,2126,,,6
261 Princeton ST East Boston 02128,East Boston,2128,42.37962,-71.02975,7
27 Colonial AVE Dorchester 02124,Dorchester,2124,42.29075,-71.076215,8
27 Colonial AVE Dorchester 02124,Dorchester,2124,42.29075,-71.076215,9
1270 Commonwealth AV Allston 02134,Allston,2134,,,10
246R Park ST West Roxbury 02132,West Roxbury,2132,,,11
116 Evans ST Dorchester 02124,Dorchester,2124,42.28137,-71.08323,12
5 Goodwin PL Boston 02114,Boston,2114,42.35981,-71.069182,13
808 Morton ST Dorchester 02124,Dorchester,2124,,,14
76 Webster ST East Boston 02128,East Boston,2128,42.367187,-71.037685,15
81 Furbush RD West Roxbury 02132,West Roxbury,2132,42.29399,-71.16631,16
17 Alveston ST Jamaica Plain 02130,Jamaica Plain,2130,,,17
86 Astoria ST Mattapan 02126,Mattapan,2126,42.278567,-71.088195,18
86 Astoria ST Mattapan 02126,Mattapan,2126,42.278567,-71.088195,19
19 Pinecliff RD West Roxbury 02132,West Roxbury,2132,42.265769,-71.153485,20
21 Alveston St Jamaica Plain 02130,Jamaica Plain,2130,,,21
97 Oakton AVE Dorchester 02122,Dorchester,2122,42.28712,-71.04971,22
40 Dimock ST Roxbury 02119,Roxbury,2119,,,23
3 Rosa ST Hyde Park 02136,Hyde Park,2136,42.2618,-71.11203,24
215 to 217 Brighton AVE Allston 02134,Allston,2134,,,25
94 Westminster ST Hyde Park 02136,Hyde Park,2136,42.264462,-71.116777,26
74 to 76 Savin ST Roxbury 02119,Roxbury,2119,42.3157,-71.07896,27
22 Freeman St Dorchester 02122,Dorchester,2122,,,28
215 to 217 Brighton AVE Allston 02134,Allston,2134,,,29
6 Dellmore Rd Jamaica Plain 02131,Jamaica Plain,2131,,,30
31 Stuart ST Boston 02116,Boston,2116,,,31
1081 River ST Hyde Park 02136,Hyde Park,2136,42.25849,-71.11833,32
68 Tremont ST Charlestown 02129,Charlestown,2129,42.37584,-71.0571,33
512 Massachusetts AVE Roxbury 02118,Roxbury,2118,42.33921,-71.079826,34
112 Ruskindale RD Mattapan 02126,Mattapan,2126,,,35
608 Shawmut AVE Roxbury 02118,Roxbury,2118,,,36
85 Mount Pleasant AVE Roxbury 02119,Roxbury,2119,,,37
8 Old RD Dorchester 02121,Dorchester,2121,,,38
18 Gardner St Roxbury 02119,Roxbury,2119,,,39
1208C VFW PW West Roxbury 02132,West Roxbury,2132,,,40
21 Wallingford RD Brighton 02135,Brighton,2135,,,41
64 Sanborn AVE West Roxbury 02132,West Roxbury,2132,42.28109,-71.16527,42
5 Fid Kennedy AV Boston 02210,Boston,2210,,,43
825 Summer ST South Boston 02127,South Boston,2127,,,44
42 Newmarket SQ Roxbury 02118,Roxbury,2118,,,45
310 Northern AV Boston 02210,Boston,2210,,,46
297 Bunker Hill ST Charlestown 02129,Charlestown,2129,42.38076,-71.06583,47
94 to 96 Loring ST Hyde Park 02136,Hyde Park,2136,,,48
55 Samoset ST Dorchester 02124,Dorchester,2124,42.29017,-71.06489,49
98 Bennington ST East Boston 02128,East Boston,2128,,,50
98 Bennington ST East Boston 02128,East Boston,2128,,,51
23 Clark ST Boston 02109,Boston,2109,42.36499,-71.0526,52
50 Terminal ST Charlestown 02129,Charlestown,2129,,,53
307 to 309 Hanover ST Boston 02113,Boston,2113,,,54
59 Wales ST Dorchester 02124,Dorchester,2124,42.29547,-71.08444,55
176 Minot ST Dorchester 02122,Dorchester,2122,42.28362,-71.05435,56
250 Bremen ST East Boston 02128,East Boston,2128,,,57
2250 Dorchester AVE Dorchester 02124,Dorchester,2124,,,58
10 Bremen ST East Boston 02128,East Boston,2128,,,59
74 Wallingford RD Brighton 02135,Brighton,2135,42.34385,-71.15189,60
122 Seaver ST Dorchester 02121,Dorchester,2121,,,61
9 Mckay Pl East Boston 02128,East Boston,2128,,,62
14 Victoria ST Dorchester 02125,Dorchester,2125,42.31557,-71.05837,63
27 Hopkins Rd Jamaica Plain 02130,Jamaica Plain,2130,,,64
3927 Washington ST Roslindale 02131,Roslindale,2131,42.29459,-71.1198,65
152 Washington ST Brighton 02135,Brighton,2135,42.345521,-71.146093,66
206 Byron ST East Boston 02128,East Boston,2128,,,67
9 Fuller ST Dorchester 02124,Dorchester,2124,42.28408,-71.06553,68
106 Barnes AVE East Boston 02128,East Boston,2128,42.385819,-71.001357,69
29 Orange St Roslindale 02131,Roslindale,2131,,,70
37 Dighton ST Brighton 02135,Brighton,2135,42.348007,-71.155495,71
